Electrode,Cluster,FR_Hz,ISI_mean_ms,ISI_median_ms,ISI_std_ms,Start_ms,End_ms,Duration_ms,thr,SNR
microGPi_L_1-2+,4,1.0468638665777343,950.6649999040767,576.6348800000269,1014.6758251343173,918.56896,397345.87392,396427.30496,0.0,1.6081160503897094
microGPi_L_1-3+,0,2.1838882575497234,455.2736918484501,302.8582400000305,484.6082289948203,902.51264,397445.89824,396543.38560000004,0.0,1.4345063032139962
microGPi_L_1-3+,1,4.811065760037866,207.91959466666668,134.34880000002158,222.11477793681996,6.7584,399212.38016,399205.62176,0.0,1.4923525438998573
microGPi_L_2-3+,2,2.9477482558899366,338.86834938775513,237.24032000000443,353.63996160580376,38.83008,398548.00896,398509.17888,0.0,1.7581240062977042
microGPi_L_2-3+,4,1.4976664885490076,663.3948837520938,439.418880000012,735.5089185398114,2088.46848,398135.21408,396046.7456,0.0,1.4408165507185393
microGPi_R_4-5+,0,0.9541988831725283,1043.8001717894736,727.0604800000074,1030.4131176092192,786.75968,397430.82496,396644.06528,0.0,1.5604621823948293
microGPi_R_4-6+,4,1.2797785545962255,779.2670519215687,561.029119999992,775.4140139594346,786.75968,398212.95616,397426.19648,0.0,1.4869815192616176
microGPi_R_7-8+,0,2.4643876667762936,404.7241349338759,256.8601600000402,429.8247767055401,166.01088,398009.83552,397843.82464,0.0,2.960171362585981
microGPi_R_7-8+,4,1.6905098323922745,589.314248545994,344.1868799999993,709.5207794085719,1039.31904,398237.12256,397197.80352,0.0,2.0532324060958027
microGPi_R_9-10+,0,1.0042880633915585,985.2711936,577.822720000011,1111.3372161347954,3168.256,397276.73344,394108.47744,0.0,3.018183246185429
microPPN_L_1-2+,0,1.5177021606366197,620.2112423140496,83.59935999999288,2152.8987885241622,3552.91136,378780.71296,375227.80159999995,0.0,4.920356755378754
microPPN_L_1-2+,4,1.833263996016511,537.5427344459644,279.8796799999982,777.0814298826206,1445.84704,394389.58592,392943.73887999996,0.0,1.9649371295029106
