Electrode,Cluster,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Spikes,RS,Method
microGPi1_L_1-2+,3,9149.60384,12419.56352,3269.95968,9149.60384,12419.56352,3269.95968,13,6.265120433399334,RankSurprise
microGPi1_L_1-2+,3,72076.98432,76976.61952,4899.63519999999,72076.98432,76976.61952,4899.63519999999,20,9.415260920276072,RankSurprise
microGPi1_L_1-2+,3,86136.99584,86780.64128,643.645439999993,86136.99584,86780.64128,643.645439999993,5,4.241326022514443,RankSurprise
microGPi1_L_1-2+,3,123318.19008,127361.88416,4043.694080000001,123318.19008,127361.88416,4043.694080000001,13,4.841266268613688,RankSurprise
microGPi1_L_1-2+,3,148604.39552,157840.13824,9235.74272000001,148604.39552,157840.13824,9235.74272000001,30,12.488339630030543,RankSurprise
microGPi1_L_1-2+,3,162204.63104,164703.96928,2499.3382399999828,162204.63104,164703.96928,2499.3382399999828,8,3.585706490012417,RankSurprise
microGPi1_L_1-2+,3,177533.78816,180831.76448,3297.976320000016,177533.78816,180831.76448,3297.976320000016,14,6.946066109870423,RankSurprise
microGPi1_L_1-2+,3,188779.84768,190620.63104,1840.7833600000013,188779.84768,190620.63104,1840.7833600000013,8,4.061663254628156,RankSurprise
microGPi1_L_1-2+,3,191647.45728,191668.30592,20.848640000011073,191647.45728,191668.30592,20.848640000011073,3,9.100527196984864,RankSurprise
microGPi1_L_1-2+,3,217014.84544,218707.80416,1692.958719999995,217014.84544,218707.80416,1692.958719999995,10,7.454878385261006,RankSurprise
microGPi1_L_1-2+,3,223353.97888,223446.4256,92.44671999997809,223353.97888,223446.4256,92.44671999997809,3,4.844269949600015,RankSurprise
microGPi1_L_1-2+,3,246832.3328,247008.78848,176.45567999998457,246832.3328,247008.78848,176.45567999998457,3,3.602986462840269,RankSurprise
microGPi1_L_1-2+,3,320948.6336,324631.7568,3683.1231999999727,320948.6336,324631.7568,3683.1231999999727,12,4.311273294444729,RankSurprise
microGPi1_L_1-2+,3,334714.10176,335068.85632,354.7545600000303,334714.10176,335068.85632,354.7545600000303,4,4.32068637899091,RankSurprise
microGPi1_L_1-2+,3,394462.6176,396083.65056,1621.0329599999823,394462.6176,396083.65056,1621.0329599999823,11,9.335964889502472,RankSurprise
microGPi1_L_1-2+,3,422448.57856,429535.88736,7087.308799999999,422448.57856,429535.88736,7087.308799999999,20,4.974398677625738,RankSurprise
microGPi1_L_1-2+,3,432518.67648,432958.21824,439.5417599999928,432518.67648,432958.21824,439.5417599999928,5,5.6694875777384155,RankSurprise
microGPi1_L_1-2+,3,467468.41088,467794.28864,325.87776000000304,467468.41088,467794.28864,325.87776000000304,4,4.60571262096504,RankSurprise
microGPi1_L_1-2+,3,538305.3312,539140.05504,834.7238399999915,538305.3312,539140.05504,834.7238399999915,6,4.986466141077955,RankSurprise
microGPi1_L_1-2+,3,613007.19616,613653.9136,646.7174399999203,613007.19616,613653.9136,646.7174399999203,6,6.564385946325814,RankSurprise
microGPi1_L_1-2+,3,626364.12928,627828.1216,1463.9923199999612,626364.12928,627828.1216,1463.9923199999612,10,8.431241920839888,RankSurprise
microGPi1_L_1-2+,3,667643.00288,667690.14784,47.14495999994688,667643.00288,667690.14784,47.14495999994688,3,6.5808775987529895,RankSurprise
microGPi1_L_1-2+,3,732338.05312,732498.86208,160.80895999993663,732338.05312,732498.86208,160.80895999993663,4,6.558335532120175,RankSurprise
microGPi1_L_1-3+,1,35966.03392,39426.78528,3460.7513599999947,35966.03392,39426.78528,3460.7513599999947,11,5.901917174129581,RankSurprise
microGPi1_L_1-3+,1,73303.08096,74908.672,1605.5910399999993,73303.08096,74908.672,1605.5910399999993,9,7.7372881359544445,RankSurprise
microGPi1_L_1-3+,1,76527.94368,76596.8384,68.8947199999966,76527.94368,76596.8384,68.8947199999966,3,5.844994743609005,RankSurprise
microGPi1_L_1-3+,1,85881.4464,86662.59456,781.148159999997,85881.4464,86662.59456,781.148159999997,8,10.398378776981183,RankSurprise
microGPi1_L_1-3+,1,134803.12832,134957.54752,154.4192000000039,134803.12832,134957.54752,154.4192000000039,3,4.338501303135127,RankSurprise
microGPi1_L_1-3+,1,176365.1584,182282.89536,5917.736960000009,176365.1584,182282.89536,5917.736960000009,16,5.3609907950798155,RankSurprise
microGPi1_L_1-3+,1,217385.08288,217598.07488,212.99199999999837,217385.08288,217598.07488,212.99199999999837,5,9.138340688782442,RankSurprise
microGPi1_L_1-3+,1,225411.52256,225456.00512,44.48255999997491,225411.52256,225456.00512,44.48255999997491,3,6.627663375797031,RankSurprise
microGPi1_L_1-3+,1,245914.17344,247108.89472,1194.721279999998,245914.17344,247108.89472,1194.721279999998,6,4.492059592897151,RankSurprise
microGPi1_L_1-3+,1,259446.86592,260652.72832,1205.8623999999836,259446.86592,260652.72832,1205.8623999999836,6,4.588612032490209,RankSurprise
microGPi1_L_1-3+,1,318748.71296,319248.91648,500.20352000003913,318748.71296,319248.91648,500.20352000003913,4,4.031963101353863,RankSurprise
microGPi1_L_1-3+,1,323241.45152,323844.17792,602.726399999985,323241.45152,323844.17792,602.726399999985,4,3.511102839636557,RankSurprise
microGPi1_L_1-3+,1,333648.19968,336014.09024,2365.8905599999707,333648.19968,336014.09024,2365.8905599999707,11,7.938539044441867,RankSurprise
microGPi1_L_1-3+,1,409496.90368,409586.2784,89.37472000002163,409496.90368,409586.2784,89.37472000002163,3,5.372183014325163,RankSurprise
microGPi1_L_1-3+,1,428879.50336,429106.74944,227.24608000001172,428879.50336,429106.74944,227.24608000001172,4,5.924701394366146,RankSurprise
microGPi1_L_1-3+,1,457850.83904,457876.93056,26.091520000016317,457850.83904,457876.93056,26.091520000016317,3,7.539993706455089,RankSurprise
microGPi1_L_1-3+,1,480132.38272,480283.32032,150.93760000000475,480132.38272,480283.32032,150.93760000000475,3,4.250766249838435,RankSurprise
microGPi1_L_1-3+,1,664558.22336,668687.07328,4128.849920000066,664558.22336,668687.07328,4128.849920000066,11,3.83563714881727,RankSurprise
microGPi1_L_1-3+,1,694226.16576,697249.30048,3023.1347199999727,694226.16576,697249.30048,3023.1347199999727,9,3.6637555441017544,RankSurprise
microGPi1_L_2-3+,0,1041.57184,1154.08896,112.51711999999998,1041.57184,1154.08896,112.51711999999998,3,4.814570831871853,RankSurprise
microGPi1_L_2-3+,0,5967.42144,6173.98272,206.5612799999999,5967.42144,6173.98272,206.5612799999999,3,3.825157835168735,RankSurprise
