Electrode,Cluster,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Spikes,RS,Method
microGPi1_L_1-2+,0,1583.02208,1923.56352,340.54143999999997,1583.02208,1923.56352,340.54143999999997,6,4.946714028766031,RankSurprise
microGPi1_L_1-2+,0,5835.53024,6796.41088,960.8806400000003,5835.53024,6796.41088,960.8806400000003,10,4.078972327736621,RankSurprise
microGPi1_L_1-2+,0,8609.5872,8928.50176,318.91455999999926,8609.5872,8928.50176,318.91455999999926,8,9.406278897578524,RankSurprise
microGPi1_L_1-2+,0,19247.14496,19888.128,640.9830399999992,19247.14496,19888.128,640.9830399999992,8,5.057683697778939,RankSurprise
microGPi1_L_1-2+,0,22283.8784,23144.20224,860.3238399999973,22283.8784,23144.20224,860.3238399999973,15,12.952043001666262,RankSurprise
microGPi1_L_1-2+,0,32463.95392,32526.70464,62.75072,32463.95392,32526.70464,62.75072,3,4.229910710108728,RankSurprise
microGPi1_L_1-2+,0,32998.97344,33058.77504,59.80159999999887,32998.97344,33058.77504,59.80159999999887,3,4.2861536058541105,RankSurprise
microGPi1_L_1-2+,0,64143.72864,64204.14464,60.41599999999744,64143.72864,64204.14464,60.41599999999744,4,7.1759341724826875,RankSurprise
microGPi1_L_1-2+,0,68973.28128,69315.21536,341.93408000000636,68973.28128,69315.21536,341.93408000000636,6,4.928432459172697,RankSurprise
microGPi1_L_1-2+,0,70465.00352,70755.81952,290.81600000000617,70465.00352,70755.81952,290.81600000000617,5,4.056756375337269,RankSurprise
microGPi1_L_1-2+,0,76402.36032,76497.34656,94.98623999999836,76402.36032,76497.34656,94.98623999999836,6,11.50766981971779,RankSurprise
microGPi1_L_1-2+,0,89601.14688,89681.26464,80.11775999999372,89601.14688,89681.26464,80.11775999999372,3,3.6244435792480463,RankSurprise
microGPi1_L_1-2+,0,90298.24512,91190.64064,892.3955199999909,90298.24512,91190.64064,892.3955199999909,13,9.018197857047483,RankSurprise
microGPi1_L_1-2+,0,91583.85664,92354.64192,770.7852799999964,91583.85664,92354.64192,770.7852799999964,9,4.504965644632402,RankSurprise
microGPi1_L_1-2+,0,94413.98784,95112.43776,698.4499199999991,94413.98784,95112.43776,698.4499199999991,9,5.609041734937274,RankSurprise
microGPi1_L_1-2+,0,98209.62816,98635.69408,426.0659200000082,98209.62816,98635.69408,426.0659200000082,6,3.8794766014158406,RankSurprise
microGPi1_L_1-2+,0,103078.99392,104968.02816,1889.0342400000081,103078.99392,104968.02816,1889.0342400000081,17,4.7961303942850915,RankSurprise
microGPi1_L_1-2+,0,108084.14208,108095.16032,11.018239999990328,108084.14208,108095.16032,11.018239999990328,3,7.968445754668524,RankSurprise
microGPi1_L_1-2+,0,108095.16032,108369.05984,273.8995200000063,108095.16032,108369.05984,273.8995200000063,5,4.125108754357047,RankSurprise
microGPi1_L_1-2+,0,120390.00064,120628.79744,238.79679999999644,120390.00064,120628.79744,238.79679999999644,6,6.741441448061408,RankSurprise
microGPi1_L_1-2+,0,124031.26272,124559.48288,528.2201599999971,124031.26272,124559.48288,528.2201599999971,7,4.110718772942003,RankSurprise
microGPi1_L_1-2+,0,126883.0208,127210.65984,327.63903999999457,126883.0208,127210.65984,327.63903999999457,5,3.590046283591125,RankSurprise
microGPi1_L_1-2+,0,130459.68896,130618.1632,158.47423999999592,130459.68896,130618.1632,158.47423999999592,5,6.551903953378606,RankSurprise
microGPi1_L_1-2+,0,135314.51392,135377.34656,62.832640000007814,135314.51392,135377.34656,62.832640000007814,3,4.216093688205094,RankSurprise
microGPi1_L_1-2+,0,143397.31456,143610.14272,212.82816000000457,143397.31456,143610.14272,212.82816000000457,6,7.315083761735124,RankSurprise
microGPi1_L_1-2+,0,180039.51616,180444.89728,405.38112000000547,180039.51616,180444.89728,405.38112000000547,6,4.186530043538921,RankSurprise
microGPi1_L_1-2+,0,181631.26272,181667.67616,36.4134400000039,181631.26272,181667.67616,36.4134400000039,3,5.329316277583805,RankSurprise
microGPi1_L_1-2+,0,182682.74688,183111.10656,428.3596799999941,182682.74688,183111.10656,428.3596799999941,6,3.8696563105991943,RankSurprise
microGPi1_L_1-2+,0,184649.3184,184785.7152,136.3968000000168,184649.3184,184785.7152,136.3968000000168,4,4.749070439850147,RankSurprise
microGPi1_L_1-2+,0,185478.79936,186086.72768,607.9283200000064,185478.79936,186086.72768,607.9283200000064,8,4.809904305228361,RankSurprise
microGPi1_L_1-2+,0,188186.78784,188247.77728,60.989440000004834,188186.78784,188247.77728,60.989440000004834,3,4.229910710108728,RankSurprise
microGPi1_L_1-2+,0,188608.9216,189974.40512,1365.4835200000089,188608.9216,189974.40512,1365.4835200000089,16,7.97143841832403,RankSurprise
microGPi1_L_1-2+,0,191479.07072,191660.93312,181.8624000000127,191479.07072,191660.93312,181.8624000000127,4,3.8201897002642546,RankSurprise
microGPi1_L_1-2+,0,208648.23296,208816.66048,168.42751999999746,208648.23296,208816.66048,168.42751999999746,4,3.9122867465473483,RankSurprise
microGPi1_L_1-2+,0,210269.30688,210534.03136,264.7244800000044,210269.30688,210534.03136,264.7244800000044,6,6.399391204329611,RankSurprise
microGPi1_L_1-2+,0,216403.3536,216814.91968,411.5660799999896,216403.3536,216814.91968,411.5660799999896,7,5.834450252063755,RankSurprise
microGPi1_L_1-2+,0,233943.53152,235662.04928,1718.517760000017,233943.53152,235662.04928,1718.517760000017,20,9.792955253573393,RankSurprise
