Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
GPi,18966.44608,20630.40512,1663.959039999998,19811.92192,20424.43776,612.51584,10,4.142584857248713,RS_region_onsets
GPi,52879.03232,53102.14144,223.10912000000098,52954.58304,53178.695680000004,224.11264000000665,8,13.704819577433835,RS_region_onsets
VoSTNSNr,5915.93472,6631.09632,715.1615999999995,6082.19136,6245.41696,163.22559999999976,7,4.134480842264718,RS_region_onsets
VoSTNSNr,34834.80064,34888.2944,53.493759999997565,34838.65088,35103.49824,264.84735999999975,3,4.136818972264141,RS_region_onsets
VoSTNSNr,52907.54048,53022.3104,114.76991999999882,52977.17248,53037.79328,60.62079999999696,7,11.753092049721904,RS_region_onsets
VoSTNSNr,64788.31616,64833.49504,45.17887999999948,64826.20416,65001.84064,175.63648000000103,5,10.067079499939322,RS_region_onsets
VIMPPN,2619.55584,2646.17984,26.623999999999796,2632.00768,2681.0368,49.02911999999969,3,4.40961459119271,RS_region_onsets
VIMPPN,9578.9056,9639.40352,60.497919999999795,9609.27744,9654.353920000001,45.07648000000154,4,4.982369939355387,RS_region_onsets
VIMPPN,12440.00256,12933.12,493.11744,12702.3104,12956.30336,253.99295999999958,11,5.748440107296395,RS_region_onsets
VIMPPN,31884.82048,31895.3472,10.52672000000166,31893.7088,32074.79296,181.08415999999852,3,6.14561522693524,RS_region_onsets
VIMPPN,34058.73152,34130.20672,71.47520000000077,34095.3088,34302.382079999996,207.07327999999688,4,4.203226008316118,RS_region_onsets
VIMPPN,39268.18816,39293.25568,25.06752000000415,39289.56928,39432.51968,142.95039999999426,3,4.40961459119271,RS_region_onsets
VIMPPN,45143.57248,45173.84192,30.269439999996393,45157.33504,45277.92128,120.58624000000418,3,4.234310607057402,RS_region_onsets
VIMPPN,46698.94656,47255.06048,556.1139200000034,47043.54304,47087.77984,44.23680000000604,13,7.580901450088864,RS_region_onsets
VIMPPN,51111.56736,51117.54752,5.9801599999991595,51114.76224,51797.1968,682.4345600000015,3,7.0500715011623925,RS_region_onsets
VIMPPN,69436.8256,69561.67168,124.84608000000298,69495.15264,69585.3056,90.15296000000671,5,4.530642876156431,RS_region_onsets
CMCL,52901.10976,53018.05056,116.94080000000395,52943.6672,53075.3536,131.68639999999868,5,9.534740677378025,RS_region_onsets
