Electrode,Cluster,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Spikes,RS,Method
microGPi1_R_2_CommonFiltered,1,220243.5584,220273.37728,29.81887999997707,220243.5584,220273.37728,29.81887999997707,3,5.8940109377136185,RankSurprise
microGPi1_R_2_CommonFiltered,1,238506.88512,239268.61824,761.733120000019,238506.88512,239268.61824,761.733120000019,6,5.08528905506693,RankSurprise
microGPi1_R_2_CommonFiltered,1,303769.96864,305566.22848,1796.2598400000134,303769.96864,305566.22848,1796.2598400000134,8,4.433941421584456,RankSurprise
microGPi1_R_2_CommonFiltered,1,321924.54656,322011.21792,86.67136000003666,321924.54656,322011.21792,86.67136000003666,3,4.2661965459051086,RankSurprise
microGPi1_R_2_CommonFiltered,1,458619.82208,459935.5392,1315.7171199999866,458619.82208,459935.5392,1315.7171199999866,7,4.6874097382406825,RankSurprise
microGPi1_R_2_CommonFiltered,1,546889.60512,547071.46752,181.8623999999836,546889.60512,547071.46752,181.8623999999836,4,5.3945126013812335,RankSurprise
microGPi1_R_2_CommonFiltered,1,559468.91264,560245.5552,776.6425599999493,559468.91264,560245.5552,776.6425599999493,5,3.6785367422701185,RankSurprise
microGPi1_R_2_CommonFiltered,1,610704.13824,610933.5552,229.41695999994408,610704.13824,610933.5552,229.41695999994408,4,4.780608199372004,RankSurprise
microGPi1_R_2_CommonFiltered,1,649649.93024,650051.21536,401.285120000015,649649.93024,650051.21536,401.285120000015,4,3.820392140695226,RankSurprise
microGPi1_R_2_CommonFiltered,1,659487.04768,660463.2064,976.1587200000649,659487.04768,660463.2064,976.1587200000649,14,18.18298780617028,RankSurprise
microGPi1_R_2_CommonFiltered,1,667517.21472,672898.53952,5381.324799999944,667517.21472,672898.53952,5381.324799999944,17,6.532710537476106,RankSurprise
microGPi1_R_2_CommonFiltered,1,690217.86112,692141.6704,1923.8092799999285,690217.86112,692141.6704,1923.8092799999285,10,6.841017382740857,RankSurprise
microGPi1_R_2_CommonFiltered,1,700956.2624,700958.96576,2.703360000043176,700956.2624,700958.96576,2.703360000043176,3,8.481774972941327,RankSurprise
microGPi1_R_2_CommonFiltered,1,702435.28704,708025.09824,5589.8111999999965,702435.28704,708025.09824,5589.8111999999965,26,14.429881433048605,RankSurprise
microGPi1_R_2_CommonFiltered,1,712823.35744,714595.65568,1772.2982399999164,712823.35744,714595.65568,1772.2982399999164,12,9.704923483777744,RankSurprise
microGPi1_R_2_CommonFiltered,1,716883.80416,718850.58048,1966.7763199999463,716883.80416,718850.58048,1966.7763199999463,26,33.132587535542584,RankSurprise
microGPi1_R_2_CommonFiltered,2,238814.69952,239404.2368,589.5372800000187,238814.69952,239404.2368,589.5372800000187,5,4.078706729546749,RankSurprise
microGPi1_R_2_CommonFiltered,2,304905.54368,304911.64672,6.103040000016335,304905.54368,304911.64672,6.103040000016335,3,8.59667574223121,RankSurprise
microGPi1_R_2_CommonFiltered,2,332987.8016,333340.38528,352.58367999998154,332987.8016,333340.38528,352.58367999998154,4,3.841577177299449,RankSurprise
microGPi1_R_2_CommonFiltered,2,406602.9568,406742.79424,139.83744000003207,406602.9568,406742.79424,139.83744000003207,3,3.8473330647999013,RankSurprise
microGPi1_R_2_CommonFiltered,2,474511.23712,474616.34048,105.10336000000825,474511.23712,474616.34048,105.10336000000825,3,4.244678854009024,RankSurprise
microGPi1_R_2_CommonFiltered,2,531044.43392,531190.49728,146.0633600000292,531044.43392,531190.49728,146.0633600000292,3,3.642023082885892,RankSurprise
microGPi1_R_2_CommonFiltered,2,556279.15264,556329.86112,50.70848000003025,556279.15264,556329.86112,50.70848000003025,3,5.455761458832722,RankSurprise
microGPi1_R_2_CommonFiltered,2,559847.424,561046.20032,1198.7763199999463,559847.424,561046.20032,1198.7763199999463,7,4.356265620725895,RankSurprise
microGPi1_R_2_CommonFiltered,2,575968.29696,576477.22496,508.92800000007264,575968.29696,576477.22496,508.92800000007264,5,4.666922465702875,RankSurprise
microGPi1_R_2_CommonFiltered,2,659450.83904,660466.0736,1015.2345600000117,659450.83904,660466.0736,1015.2345600000117,19,27.38704276650523,RankSurprise
microGPi1_R_2_CommonFiltered,2,664166.93248,673351.35232,9184.419839999988,664166.93248,673351.35232,9184.419839999988,28,6.710930560558513,RankSurprise
microGPi1_R_2_CommonFiltered,2,684566.81472,699204.89472,14638.079999999958,684566.81472,699204.89472,14638.079999999958,57,18.99853647364904,RankSurprise
microGPi1_R_2_CommonFiltered,2,706626.27328,719608.95488,12982.68160000001,706626.27328,719608.95488,12982.68160000001,66,34.3226386369205,RankSurprise
microGPi1_R_3_CommonFiltered,2,62029.37344,64034.69312,2005.3196800000005,62029.37344,64034.69312,2005.3196800000005,10,4.857045622637524,RankSurprise
microGPi1_R_3_CommonFiltered,2,71508.86912,73200.68096,1691.8118399999948,71508.86912,73200.68096,1691.8118399999948,10,5.938984550188985,RankSurprise
microGPi1_R_3_CommonFiltered,2,83780.11648,86034.14528,2254.0288,83780.11648,86034.14528,2254.0288,9,3.9952803259941736,RankSurprise
microGPi1_R_3_CommonFiltered,2,93284.7616,93665.03424,380.2726399999956,93284.7616,93665.03424,380.2726399999956,4,3.947411106948831,RankSurprise
microGPi1_R_3_CommonFiltered,2,115524.85376,115802.07104,277.2172799999971,115524.85376,115802.07104,277.2172799999971,4,4.785952952781621,RankSurprise
microGPi1_R_3_CommonFiltered,2,125435.61728,126940.48768,1504.8703999999998,125435.61728,126940.48768,1504.8703999999998,7,3.6147219668041606,RankSurprise
