onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
82079.82592,82086.42048,6.594559999997728,82083.47136,82131.92704,48.45567999999912,3,4.654858507591914
233752.00256,233757.45024,5.447680000012042,233753.68192,234007.92064,254.23871999999392,3,5.05419989784955
234681.1392,234955.61216,274.4729599999846,234811.74016,235018.05568,206.31552000000374,16,6.857336423754186
242527.10912,242734.8992,207.79008000000613,242647.7568,242884.3008,236.5439999999944,16,9.048560088599798
246062.6944,246155.4688,92.77439999999478,246116.53632,246624.93183999998,508.39551999996183,10,8.20006050233531
249084.68224,249253.80608,169.12384000001475,249168.2816,249377.1776,208.89600000000792,11,5.861817860719368
259945.34912,260027.14624,81.7971200000029,259970.43712000002,260122.70592,152.26879999999073,8,6.111457500783074
260367.44192,260369.12128,1.679359999980079,260367.93344,261227.80672,859.8732799999998,3,7.510935670670854
261919.37536,262019.56352,100.1881599999906,261980.50816000003,262369.66912,389.16095999995014,12,10.862913650554972
264609.46432,264730.13248,120.66815999994287,264657.42848,264908.34944,250.92096000001766,9,4.992873051195884
266323.31264,266327.81824,4.505599999974947,266325.23776,266822.8608,497.62304000003496,3,5.4166476208740235
270590.64832,270642.5856,51.937280000012834,270614.95808,271004.3648,389.40671999996994,6,5.0305149102980025
271359.01696,271387.2384,28.22143999999389,271372.32896,271498.40384,126.07487999997102,5,5.453528696313821
276150.8864,276188.28288,37.39647999999579,276161.98656,276509.98271999997,347.9961599999806,6,6.568207837683474
