Electrode,Cluster,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Spikes,RS,Method
microGPi1_R_1_CommonFiltered,0,8070.3488,8122.69568,52.346880000000056,8070.3488,8122.69568,52.346880000000056,3,3.8967228906241225,RankSurprise
microGPi1_R_1_CommonFiltered,0,13917.42976,13983.45728,66.02751999999964,13917.42976,13983.45728,66.02751999999964,3,3.508623329206076,RankSurprise
microGPi1_R_1_CommonFiltered,0,19685.08928,21361.664,1676.5747200000005,19685.08928,21361.664,1676.5747200000005,20,7.848293522148305,RankSurprise
microGPi1_R_1_CommonFiltered,0,24692.61312,24832.32768,139.7145599999967,24692.61312,24832.32768,139.7145599999967,4,3.7444386852340443,RankSurprise
microGPi1_R_1_CommonFiltered,0,25470.976,25507.92192,36.945920000001934,25470.976,25507.92192,36.945920000001934,3,4.542272662735316,RankSurprise
microGPi1_R_1_CommonFiltered,0,26453.07392,26496.69632,43.6224000000002,26453.07392,26496.69632,43.6224000000002,4,7.2856866404419485,RankSurprise
microGPi1_R_1_CommonFiltered,0,30301.02016,30355.0464,54.026239999999234,30301.02016,30355.0464,54.026239999999234,3,3.8967228906241225,RankSurprise
microGPi1_R_1_CommonFiltered,0,40133.4272,40185.4464,52.019200000002456,40133.4272,40185.4464,52.019200000002456,4,6.635488297039242,RankSurprise
microGPi1_R_1_CommonFiltered,0,47170.9696,47578.60352,407.6339200000002,47170.9696,47578.60352,407.6339200000002,7,4.387195081735636,RankSurprise
microGPi1_R_1_CommonFiltered,0,58851.77856,58907.93472,56.156159999998636,58851.77856,58907.93472,56.156159999998636,3,3.749803260881084,RankSurprise
microGPi1_R_1_CommonFiltered,0,61668.92544,61688.46336,19.537920000002487,61668.92544,61688.46336,19.537920000002487,3,5.40654799919059,RankSurprise
microGPi1_R_1_CommonFiltered,0,71013.08928,71043.80928,30.720000000001164,71013.08928,71043.80928,30.720000000001164,3,4.880032159681511,RankSurprise
microGPi1_R_1_CommonFiltered,0,73677.824,73907.85536,230.03136000000814,73677.824,73907.85536,230.03136000000814,6,5.485024979717878,RankSurprise
microGPi1_R_1_CommonFiltered,0,82896.11776,84096.45056,1200.3328000000038,82896.11776,84096.45056,1200.3328000000038,12,3.698798960655027,RankSurprise
microGPi1_R_1_CommonFiltered,0,86004.20352,86393.11872,388.9152000000031,86004.20352,86393.11872,388.9152000000031,8,6.199460366569478,RankSurprise
microGPi1_R_1_CommonFiltered,0,93054.40256,93585.94048,531.5379200000025,93054.40256,93585.94048,531.5379200000025,8,4.409067045562138,RankSurprise
microGPi1_R_1_CommonFiltered,0,94637.30176,95036.70272,399.40095999999903,94637.30176,95036.70272,399.40095999999903,8,6.079650126751609,RankSurprise
microGPi1_R_1_CommonFiltered,0,100255.744,100708.47488,452.73087999998825,100255.744,100708.47488,452.73087999998825,7,4.074786306383219,RankSurprise
microGPi1_R_1_CommonFiltered,0,101601.77152,102080.14336,478.37184000000707,101601.77152,102080.14336,478.37184000000707,7,3.751330843747422,RankSurprise
microGPi1_R_1_CommonFiltered,0,106083.20512,106118.51264,35.307520000002114,106083.20512,106118.51264,35.307520000002114,3,4.5124211775648515,RankSurprise
microGPi1_R_1_CommonFiltered,0,112585.85088,112740.7616,154.91071999999986,112585.85088,112740.7616,154.91071999999986,5,5.328613227569516,RankSurprise
microGPi1_R_1_CommonFiltered,0,120323.8912,120336.9984,13.107199999998556,120323.8912,120336.9984,13.107199999998556,3,6.651293107361225,RankSurprise
microGPi1_R_1_CommonFiltered,0,121844.736,122213.62176,368.8857599999901,121844.736,122213.62176,368.8857599999901,7,5.116773763412672,RankSurprise
microGPi1_R_1_CommonFiltered,0,127470.63296,127536.90624,66.27327999999397,127470.63296,127536.90624,66.27327999999397,3,3.508623329206076,RankSurprise
microGPi1_R_1_CommonFiltered,0,133496.29952,133553.39776,57.098239999992074,133496.29952,133553.39776,57.098239999992074,3,3.7097350311236053,RankSurprise
microGPi1_R_1_CommonFiltered,0,143258.13248,144683.86816,1425.7356800000125,143258.13248,144683.86816,1425.7356800000125,14,3.886232024191407,RankSurprise
microGPi1_R_1_CommonFiltered,0,150269.00992,150306.89792,37.88799999997718,150269.00992,150306.89792,37.88799999997718,3,4.434929189814309,RankSurprise
