onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,num_onsets,RS
233099.264,233253.35552,154.09152000001632,233200.41472,233323.84768,123.43296000000555,10,4.751330773526418
233752.00256,233757.45024,5.447680000012042,233753.68192,234007.92064,254.23871999999392,3,5.212537896089318
242638.97088,242691.85024,52.87935999999172,242664.38656,242947.39968,283.0131199999887,6,4.929866404381297
246099.1488,246155.4688,56.320000000006985,246129.17248,246588.94848,459.77599999998347,7,6.459429422441693
249084.68224,249253.80608,169.12384000001475,249168.2816,249377.1776,208.89600000000792,11,6.364730119788274
259945.34912,260414.21824,468.86911999998847,260184.92416,260497.08032,312.1561600000132,21,8.08161574306447
261924.82304,262019.56352,94.74048000000766,261986.75456,262169.3952,182.6406400000269,9,6.773923430188803
263530.41408,263645.10208,114.68799999996554,263578.624,263690.15807999996,111.53407999995397,8,4.609552388354319
266309.59104,266433.61792,124.02687999996124,266379.79648,266531.06176,151.26527999999234,9,5.826848352517055
271359.01696,271387.2384,28.22143999999389,271372.32896,271498.40384,126.07487999997102,5,5.792438837690344
