Side,K_excluded,Regions_included,N_gt_spans,N_pred_spans,Mean_IoU,N_gt_matched
left,1,GPi|VIMPPN|VoSTNSNr,18,12,0.6724455632960546,14
right,1,GPi|VIMPPN|VoSTNSNr,19,14,0.4728306424726794,12
left,1,CMCL|VIMPPN|VoSTNSNr,18,11,0.513692016723092,12
right,1,CMCL|VIMPPN|VoSTNSNr,19,14,0.3523806599093617,12
left,1,CMCL|GPi|VoSTNSNr,18,15,0.7905134643165986,16
right,1,CMCL|GPi|VoSTNSNr,19,16,0.7717052744807072,17
left,1,CMCL|GPi|VIMPPN,18,14,0.7035047806310801,16
right,1,CMCL|GPi|VIMPPN,19,14,0.6549126061185122,15
left,2,VIMPPN|VoSTNSNr,18,6,0.36874650017721866,9
right,2,VIMPPN|VoSTNSNr,19,6,0.1086727241573819,5
left,2,GPi|VoSTNSNr,18,8,0.4358702102325267,9
right,2,GPi|VoSTNSNr,19,9,0.3895697336328194,10
left,2,GPi|VIMPPN,18,11,0.5231031846353502,12
right,2,GPi|VIMPPN,19,7,0.21829036900091195,7
left,2,CMCL|VoSTNSNr,18,10,0.4839588626819078,11
right,2,CMCL|VoSTNSNr,19,10,0.3084887536338704,10
left,2,CMCL|VIMPPN,18,7,0.28558893316199696,8
right,2,CMCL|VIMPPN,19,9,0.21549455986561641,6
left,2,CMCL|GPi,18,13,0.6430124445719307,14
right,2,CMCL|GPi,19,12,0.4740737655316044,13
left,3,VoSTNSNr,18,3,0.15415583635154215,3
right,3,VoSTNSNr,19,2,0.02184214423219504,1
left,3,VIMPPN,18,2,0.007872439254875536,1
right,3,VIMPPN,19,2,0.009185904622682073,1
left,3,GPi,18,7,0.3540682016651448,8
right,3,GPi,19,5,0.14077564538135698,6
left,3,CMCL,18,3,0.07301947404827384,2
right,3,CMCL,19,3,0.07493217244254043,3
