Region,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Events,RS,Method
GPi,19005.80864,19968.98304,963.1743999999999,19514.04032,19797.07392,283.03359999999884,22,8.905721852210648,RS_region_onsets
GPi,30746.74688,30848.57344,101.82656000000134,30795.55072,31256.28928,460.7385600000016,6,5.809464498927646,RS_region_onsets
GPi,52362.60864,52492.98432,130.37568000000465,52409.794559999995,52642.28352,232.4889600000024,6,4.2632039624176326,RS_region_onsets
GPi,58079.8464,58104.91392,25.067519999996875,58093.1584,58373.795840000006,280.6374400000059,4,5.699485490518281,RS_region_onsets
GPi,61841.77664,62216.51968,374.7430400000012,62084.89472,62224.77312,139.87840000000142,14,8.100740728685619,RS_region_onsets
GPi,63827.3536,63833.7024,6.3487999999997555,63833.66144,63913.5744,79.9129599999942,3,5.647531617267463,RS_region_onsets
GPi,67378.54464,67787.73504,409.1904000000068,67577.6512,67825.37728,247.72608000000764,11,4.290474279936408,RS_region_onsets
GPi,69333.07392,69342.08512,9.011200000008103,69338.27584,69812.16256,473.88671999999497,4,8.107129490657869,RS_region_onsets
GPi,71089.88928,71427.80928,337.91999999999825,71236.28031999999,71606.49728,370.2169600000052,12,7.0602324311900935,RS_region_onsets
GPi,72067.11296,72103.19872,36.085760000001756,72090.66496,72654.35648,563.6915200000076,6,9.312055796621486,RS_region_onsets
GPi,72403.47648,72408.55552,5.079039999996894,72404.91008,72722.80064,317.8905599999998,3,5.759630441393744,RS_region_onsets
GPi,79606.74304,79657.41056,50.667520000002696,79621.36576,79690.8544,69.48863999999594,4,3.9612726345982487,RS_region_onsets
GPi,81843.07712,82067.49696,224.4198400000023,81960.7552,82097.72544000001,136.97024000000965,8,4.570601692823489,RS_region_onsets
GPi,82998.10816,83667.39456,669.2863999999972,83305.96352,83699.22048,393.2569599999988,15,6.123166202251913,RS_region_onsets
GPi,97271.43936,97280.04096,8.601599999994505,97278.81216,97391.24736,112.43519999999262,3,5.0753126862129925,RS_region_onsets
GPi,97845.00224,97862.98368,17.981440000003204,97859.1744,99288.30976,1429.1353600000002,3,4.026133587290783,RS_region_onsets
GPi,99109.23264,99197.70624,88.47359999999753,99164.65152,99326.60736,161.95583999999508,5,4.099783818996972,RS_region_onsets
GPi,102311.5264,102569.49248,257.9660799999983,102462.54592,102585.07776,122.53183999999601,8,4.036954669543174,RS_region_onsets
GPi,103986.33984,104255.97952,269.63967999999295,104156.85632,104276.25472,119.39839999999094,19,20.90798085550493,RS_region_onsets
GPi,104576.36864,104594.26816,17.899520000006305,104583.5776,104627.24096,43.66335999999137,3,4.011277424465648,RS_region_onsets
