Electrode,Cluster,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Spikes,RS,Method
microGPi1_R_1_CommonFiltered,0,2246.90176,2667.15136,420.24959999999965,2246.90176,2667.15136,420.24959999999965,7,4.1571124179169665,RankSurprise
microGPi1_R_1_CommonFiltered,0,23363.7888,25107.82464,1744.0358400000005,23363.7888,25107.82464,1744.0358400000005,24,12.31163582631833,RankSurprise
microGPi1_R_1_CommonFiltered,0,37760.16384,42045.56288,4285.399039999997,37760.16384,42045.56288,4285.399039999997,43,12.197136605372979,RankSurprise
microGPi1_R_1_CommonFiltered,0,123280.5888,123944.46848,663.8796799999982,123280.5888,123944.46848,663.8796799999982,13,10.304232274954762,RankSurprise
microGPi1_R_1_CommonFiltered,0,126769.52064,130774.34368,4004.823040000003,126769.52064,130774.34368,4004.823040000003,36,8.150895601345209,RankSurprise
microGPi1_R_1_CommonFiltered,0,155277.312,155465.76896,188.45695999998134,155277.312,155465.76896,188.45695999998134,5,4.562700592001374,RankSurprise
microGPi1_R_1_CommonFiltered,0,201987.19488,202125.02528,137.8304000000062,201987.19488,202125.02528,137.8304000000062,4,3.808193804689722,RankSurprise
microGPi1_R_1_CommonFiltered,0,203238.27712,203290.50112,52.22399999998743,203238.27712,203290.50112,52.22399999998743,3,4.2075324072492855,RankSurprise
microGPi1_R_1_CommonFiltered,0,204138.94656,204280.09472,141.14815999998245,204138.94656,204280.09472,141.14815999998245,4,3.762229398039782,RankSurprise
microGPi1_R_1_CommonFiltered,0,205790.37184,205950.52544,160.15359999999055,205790.37184,205950.52544,160.15359999999055,4,3.558761435503051,RankSurprise
microGPi1_R_1_CommonFiltered,0,207183.33952,209064.05888,1880.7193599999882,207183.33952,209064.05888,1880.7193599999882,24,11.86413456001833,RankSurprise
microGPi1_R_1_CommonFiltered,0,210488.07424,211870.43328,1382.3590400000103,210488.07424,211870.43328,1382.3590400000103,15,4.94645884999704,RankSurprise
microGPi1_R_1_CommonFiltered,0,219124.16256,219209.03168,84.86911999998847,219124.16256,219209.03168,84.86911999998847,5,8.297921846034264,RankSurprise
microGPi1_R_1_CommonFiltered,0,226179.56352,226395.136,215.57248000000254,226179.56352,226395.136,215.57248000000254,6,5.919156523992278,RankSurprise
microGPi1_R_1_CommonFiltered,0,271355.04384,271419.63776,64.5939200000139,271355.04384,271419.63776,64.5939200000139,3,3.652480656318838,RankSurprise
microGPi1_R_1_CommonFiltered,0,273312.68608,274491.10528,1178.419200000004,273312.68608,274491.10528,1178.419200000004,14,6.251169960935515,RankSurprise
