Electrode,Cluster,onset_start_ms,onset_end_ms,onset_duration_ms,span_start_ms,span_end_ms,span_duration_ms,Num_Spikes,RS,Method
microGPi1_L_6_CommonFiltered,0,145069.30176,145077.90336,8.601599999994505,145069.30176,145077.90336,8.601599999994505,3,3.7149852472040266,RankSurprise
microGPi1_L_6_CommonFiltered,0,145144.6272,145171.94752,27.3203199999989,145144.6272,145171.94752,27.3203199999989,5,4.3309377645411224,RankSurprise
microGPi1_L_6_CommonFiltered,0,149169.07008,149177.58976,8.519679999997607,149169.07008,149177.58976,8.519679999997607,3,3.960070562019604,RankSurprise
microGPi1_L_6_CommonFiltered,0,149468.93824,149519.03232,50.09408000000985,149468.93824,149519.03232,50.09408000000985,7,4.028755891072201,RankSurprise
microGPi1_L_6_CommonFiltered,0,155785.25696,155843.7888,58.53184000001056,155785.25696,155843.7888,58.53184000001056,8,4.590887400938768,RankSurprise
microGPi1_L_6_CommonFiltered,0,156057.68192,156093.72672,36.044800000003306,156057.68192,156093.72672,36.044800000003306,6,4.512375617093554,RankSurprise
microGPi1_L_6_CommonFiltered,0,177301.01248,177309.65504,8.642560000007506,177301.01248,177309.65504,8.642560000007506,3,3.766912143640301,RankSurprise
microGPi1_L_6_CommonFiltered,0,177387.06944,177420.45184,33.382400000002235,177387.06944,177420.45184,33.382400000002235,7,6.6114590742203205,RankSurprise
microGPi1_L_6_CommonFiltered,0,177534.52544,177834.43456,299.9091199999966,177534.52544,177834.43456,299.9091199999966,39,20.187309878249835,RankSurprise
microGPi1_L_6_CommonFiltered,0,177967.59552,178132.41856,164.8230399999884,177967.59552,178132.41856,164.8230399999884,15,3.5083848480115125,RankSurprise
microGPi1_L_6_CommonFiltered,0,178132.41856,178140.24192,7.823360000009416,178132.41856,178140.24192,7.823360000009416,4,7.385729331660741,RankSurprise
microGPi1_L_6_CommonFiltered,0,178382.27456,178387.1488,4.874240000004647,178382.27456,178387.1488,4.874240000004647,3,5.3871301814984065,RankSurprise
microGPi1_L_6_CommonFiltered,0,178684.35456,178876.49792,192.1433599999873,178684.35456,178876.49792,192.1433599999873,25,12.818861895488153,RankSurprise
