Electrode,Cluster,FR_Hz,ISI_mean_ms,ISI_median_ms,ISI_std_ms,Start_ms,End_ms,Duration_ms,thr,SNR
microGPi1_L_6_CommonFiltered,0,8.073927881423618,90.60041696969697,16.670719999994617,1099.336373698617,130802.76992,579274.83392,448472.064,0.0,2.1478261353248613
microGPi1_L_6_CommonFiltered,1,4.615070875465327,118.63074386709083,16.670719999994617,948.7343342633709,125109.41184,460715.78624,335606.3744,0.0,2.838673513577548
microGPi1_L_6_CommonFiltered,2,6.157776546203914,101.33005969801324,19.537919999973383,698.5797127286779,111344.8448,493865.82016,382520.97536,0.0,2.8295529218790016
microGPi1_L_6_CommonFiltered,3,4.830332131847456,153.1038320567376,16.79360000003362,1623.375267067735,41044.7872,494385.23392,453340.44672,0.0,1.2871761509649422
microGPi1_L_6_CommonFiltered,4,1.9063667326568792,315.51221479452056,33.382400000002235,2498.4541705404968,123083.85792,491602.1248,368518.26688,0.0,7.166634213126603
microGPi1_L_8_CommonFiltered,0,7.579805452001004,97.86273907467182,16.67072000002372,1339.5808864721375,41044.74624,495812.89472,454768.14848,0.0,2.5180229318212834
microGPi1_L_8_CommonFiltered,1,2.1623971663841077,216.1048363471698,33.34144000001834,1866.6104685608782,144941.42464,431280.3328,286338.90816,0.0,7.595962782740824
microGPi1_L_8_CommonFiltered,3,2.0971664826319474,248.92976211673152,33.341439999989234,2019.3145467538204,125578.60864,445453.35296,319874.74432,0.0,7.047362117542767
microGPi1_L_8_CommonFiltered,4,7.58632852037622,97.26638482906903,16.670719999994617,1241.991686414517,126888.91904,579274.87488,452385.95584,0.0,2.4350616494171917
microGPi1_L_9_CommonFiltered,0,1.937351307439155,241.2150273294018,33.341439999989234,1947.7566489363794,144866.42688,431188.66432,286322.23743999994,0.0,6.957363535633316
microGPi1_L_9_CommonFiltered,2,7.416728742620604,86.11924226083131,16.670719999994617,892.6486570985871,125107.97824,516692.1728,391584.19456,0.0,2.513241072384796
microGPi1_L_9_CommonFiltered,3,2.0727049762248875,225.44451729133857,33.34144000004744,1857.7594940338622,144865.77152,431180.30848,286314.53696,0.0,7.220602808798055
microGPi1_L_9_CommonFiltered,4,7.177005979831415,84.3491421090909,16.711680000007618,518.2100186320494,124678.79936,495815.02464,371136.22528,0.0,2.577066348870788
microGPi1_R_7_CommonFiltered,4,1.0224909678151097,661.3016863897764,274.4524800000072,1296.080685687796,105516.81024,519491.66592,413974.85568,0.0,2.572756230212389
microGPi1_R_10_CommonFiltered,0,7.8668204605105085,81.6085324486834,16.711679999978514,433.85881807560196,105489.32608,499087.27808,393597.95200000005,0.0,1.7966277598797376
microGPi1_R_10_CommonFiltered,1,2.470612147113064,232.53251719947158,33.25952000002144,1186.3696270947778,140505.98912,492560.22016,352054.23104,0.0,2.476958815403719
microGPi1_R_10_CommonFiltered,2,4.205748334920523,183.86921756400312,16.75264000002062,1951.3872281343042,105259.78624,579274.62912,474014.84288000007,0.0,2.227340117215621
microGPi1_R_10_CommonFiltered,3,3.217503476075297,178.14021192697768,22.83520000000135,1214.4191760500014,144907.34592,496199.84384,351292.49792,0.0,2.7612054631498157
microGPi1_R_10_CommonFiltered,4,9.412787665436703,67.66497602495234,13.967359999980545,472.7536943400503,105492.56192,495987.13856,390494.57664,0.0,1.642131479111358
microGPi2_L_6_CommonFiltered,2,0.9996602285018537,997.1958964705883,585.6665599999978,1186.81000221786,806.46144,611090.35008,610283.88864,0.0,1.327601600103198
microGPi2_L_6_CommonFiltered,4,0.9572602840629496,1043.0761064846417,628.7564800000073,1225.6588836168812,202.50624,611445.10464,611242.5984,0.0,1.2209020077026103
microGPi2_L_7_CommonFiltered,1,1.6030440532093346,623.4465707535642,367.0630400000373,741.2126713301307,557.75232,612782.2848,612224.53248,0.0,1.3383900782693103
microGPi2_L_7_CommonFiltered,4,1.6079363544907466,620.6070409746193,378.88000000000466,682.177221131045,557.09696,611855.03232,611297.93536,0.0,1.3777554043867215
microGPi2_L_9_CommonFiltered,1,3.62193371533869,275.80224115315315,186.8390400000062,272.1320167148276,503.3984,612784.37376,612280.97536,0.0,1.4666656962859967
microGPi2_L_9_CommonFiltered,2,3.4295031982698174,291.263870903901,190.3001599999934,306.85328431333596,280.7808,612517.43744,612236.6566400001,0.0,1.4676008513884753
microGPi2_L_10_CommonFiltered,0,1.29156753829277,764.3752212389381,303.4316799999797,1374.9528389314364,2037.43232,606658.23232,604620.7999999999,0.0,1.2680409259527166
microGPi2_R_3_CommonFiltered,0,4.494394110523832,222.22652492196005,135.9872000000032,250.23058666643368,85.64736,612319.72352,612234.07616,0.0,1.7945153424306957
microVoSTNSNr_L_9_CommonFiltered,1,1.252429128041474,796.5672235723598,391.4137599999958,1502.438355631504,1343.52896,612310.58944,610967.06048,0.0,2.262486518758542
microVoSTNSNr_R_3_CommonFiltered,3,0.8969219015922014,1114.8124234608379,682.3526399999973,1250.3164722155877,64.7168,612096.73728,612032.02048,0.0,1.4480934774421803
microVoSTNSNr_R_5_CommonFiltered,0,1.9683358822214312,507.57013864013265,332.00128000000313,547.6081302139863,196.77184,612326.35904,612129.5872000001,0.0,1.5781895985262868
microVoSTNSNr_R_5_CommonFiltered,1,1.3176598117936342,759.092291251549,499.99871999999596,760.0096000968123,288.31744,612875.79648,612587.47904,0.0,1.4163890482730777
microVoSTNSNr_R_5_CommonFiltered,2,3.481687745271546,287.13021420806,189.62432000000263,296.37770436575425,211.80416,612947.68128,612735.87712,0.0,1.5253272747425115
microVoSTNSNr_R_5_CommonFiltered,3,2.850580879969397,350.632300583858,242.76991999999154,361.6790534738786,170.92608,612725.5552,612554.6291199999,0.0,1.5823156938736835
microVoSTNSNr_R_6_CommonFiltered,1,1.9291974719701352,517.7400484602368,362.3731199999893,499.65341882751835,347.66848,612316.40576,611968.73728,0.0,1.7310698435717233
microVoSTNSNr_R_6_CommonFiltered,2,2.879934687657869,347.117875490085,233.92255999997724,351.441391499283,528.54784,613191.59808,612663.05024,0.0,1.6582818688358605
microVoSTNSNr_R_8_CommonFiltered,1,5.595161898841533,178.70379885714283,90.89024000000063,261.477913235763,120.79104,613074.82112,612954.0300799999,0.0,1.326785127814361
microVoSTNSNr_R_8_CommonFiltered,3,3.904056422566782,256.14958188048473,135.04511999999522,358.53889651928523,114.56512,613080.51456,612965.94944,0.0,1.5004204559170022
microVoSTNSNr_R_8_CommonFiltered,4,1.0061832968770696,994.5941111688312,497.5001600000105,1336.317259197808,355.61472,613025.5872,612669.97248,0.0,1.3045055889007997
microVoSTNSNr_R_9_CommonFiltered,0,2.979411480379913,335.72240403066814,171.86815999999817,504.3487798510404,125.17376,613154.28352,613029.10976,0.0,1.405537526200747
microVoSTNSNr_R_9_CommonFiltered,1,0.8137527798081974,1228.6570512449798,641.2697600000029,1750.1455473152582,1044.72576,612915.93728,611871.21152,0.0,1.6392264722031118
microVoSTNSNr_R_9_CommonFiltered,3,4.704763065624547,212.5500183079057,100.55679999998392,327.2414960632666,117.9648,613112.2176,612994.2528,0.0,1.257294538419145
microVoSTNSNr_R_10_CommonFiltered,1,4.63627084768478,215.70445421534137,117.84192000002076,294.8574923975298,102.03136,613134.09024,613032.05888,0.0,1.301764810911415
microVoSTNSNr_R_10_CommonFiltered,3,4.476455672491987,223.38597317784252,118.86591999999655,304.7259063286842,217.04704,613188.15744,612971.1104,0.0,1.3393669136912791
microVIMPPN_L_10_CommonFiltered,0,5.880546140257233,102.40423802496534,16.711680000007618,662.634425396131,105641.65632,474808.9344,369167.27808,0.0,2.179597536260916
microVIMPPN_L_10_CommonFiltered,1,3.134334354291293,200.9415082977616,25.559039999963716,1275.5552012144628,105510.7072,491519.34464,386008.63744,0.0,2.5472322960378273
microVIMPPN_L_10_CommonFiltered,2,5.428823655273525,127.66998153846154,16.793600000004517,912.433760120871,69499.57632,494385.27488,424885.69856,0.0,2.114671746342816
microVIMPPN_L_10_CommonFiltered,4,4.784670653220944,132.31603605864302,17.899520000006305,655.7515609414764,105593.81504,493676.7488,388082.93376,0.0,1.446376178822679
microVIMPPN_R_2_CommonFiltered,1,1.3600597562325383,726.651691332533,181.9033599999966,2377.3886760666023,1690.33728,606991.19616,605300.8588800001,0.0,1.2064082987495985
microVIMPPN_R_3_CommonFiltered,0,3.610518345682062,137.93936137370085,27.5251200000057,1258.1845747595275,144847.01184,450106.81856,305259.80672,0.0,4.327545236245486
microVIMPPN_R_3_CommonFiltered,1,2.0466127027240235,271.597986092504,24.432640000013635,1994.7273572447505,124717.42464,465301.2992,340583.87456,0.0,3.8160860151089957
microVIMPPN_R_3_CommonFiltered,2,4.151933020824991,140.43437768172885,22.568960000004154,1181.7769340356924,131293.10208,488698.59328,357405.49119999993,0.0,3.832457844137912
microVIMPPN_R_3_CommonFiltered,3,2.0286742646921794,238.62225042638775,25.722879999957513,2174.8005023829646,134588.74368,431196.20096,296607.45728,0.0,3.4692817543646797
microVIMPPN_R_4_CommonFiltered,0,3.74424124737399,266.5413370980392,133.98015999997733,448.7609868456554,343.20384,612055.57248,611712.36864,0.0,1.4759212217549187
microVIMPPN_R_4_CommonFiltered,1,3.731195110623558,267.32562805421946,127.34464000002481,428.5568752756436,704.9216,612078.63296,611373.71136,0.0,1.4752107603278464
microVIMPPN_R_6_CommonFiltered,0,2.376027655672432,420.592414945055,277.0329600000405,449.1137560279152,337.42848,612719.98464,612382.55616,0.0,1.8642662002670136
microVIMPPN_R_6_CommonFiltered,1,7.485220960560373,133.59870270647198,88.96512000000075,139.8893306020042,12.288,613096.73472,613084.44672,0.0,2.1366800718614587
microVIMPPN_R_6_CommonFiltered,3,1.4073520019528543,709.5171979582367,456.4787199999846,811.5211041333426,905.29792,612509.12256,611603.82464,0.0,2.022807202132064
microVIMPPN_R_6_CommonFiltered,4,2.822857839374729,354.0068861040463,227.6556800000253,398.5200161308275,630.5792,613062.49216,612431.91296,0.0,1.7223328975309646
microVIMPPN_R_8_CommonFiltered,2,1.792213036090599,557.2150277595629,318.2591999999968,678.3975993800494,608.91136,612431.01184,611822.10048,0.0,1.8104417698443034
microVIMPPN_R_9_CommonFiltered,0,3.8551334097526624,259.2360306728734,150.32319999998435,316.3471883228719,35.67616,612610.41664,612574.7404799999,0.0,1.5944928893749006
microVIMPPN_R_9_CommonFiltered,1,2.0400896343488073,489.16440678400005,223.6620799999946,749.6045018595946,957.52192,612413.0304,611455.5084800001,0.0,1.34459881472236
microCMCL_L_1_CommonFiltered,4,1.741659256182675,573.1705929896907,263.7414400000125,849.5084840536567,1127.8336,612700.85632,611573.02272,0.0,1.2145728857599272
microCMCL_L_2_CommonFiltered,2,0.9556295169691456,890.9352434871795,325.09951999998884,3420.5818902562905,26120.35584,547317.47328,521197.11744000006,0.0,1.9515695639150283
microCMCL_L_3_CommonFiltered,2,2.2227355488548555,448.53097632892803,290.05824000001303,484.50190331827275,1127.2192,612026.40896,610899.18976,0.0,1.5172388316248289
microCMCL_L_3_CommonFiltered,3,2.1689202347593235,460.6594908653123,324.11647999996785,465.9317366735634,452.1984,612668.66176,612216.46336,0.0,1.583724604722065
microCMCL_L_4_CommonFiltered,2,2.1118433864761834,473.6993295826893,300.4211200000136,518.0680486536543,186.32704,613153.25952,612966.93248,0.0,1.424801917765524
microCMCL_L_4_CommonFiltered,4,2.0417204014426114,488.99446075139883,312.0742400000454,532.8804249612132,459.9808,612192.0512,611732.0704,0.0,1.481392668755316
microCMCL_L_5_CommonFiltered,0,2.4037506962671,200.5150779090292,33.30048000003444,1745.1052477857636,144915.70176,440274.41152,295358.70976,0.0,2.7877371603123136
microCMCL_L_5_CommonFiltered,1,8.479988887780815,62.44222399692249,14.70464000001084,749.5969434807685,131951.24736,456588.36992,324637.12256000005,0.0,1.53536928200603
microCMCL_L_5_CommonFiltered,2,4.163348390481619,158.2768230721003,16.711679999993066,1949.150370942749,144491.88864,548414.34112,403922.45248,0.0,2.074869969135398
microCMCL_L_5_CommonFiltered,3,2.6744580338385644,268.971524685784,24.371199999994133,3978.895038824466,138430.50496,579274.83392,440844.32896,0.0,2.322976857621664
microCMCL_L_5_CommonFiltered,4,9.518787526533963,61.587121919122694,12.185599999982514,763.081170274405,134962.7904,494385.23392,359422.44352000003,0.0,1.7214399469671462
microCMCL_L_6_CommonFiltered,0,1.9993204570037073,499.59928476734694,296.75520000001416,573.9375161289595,553.3696,612562.49344,612009.12384,0.0,1.233424849359818
microCMCL_L_6_CommonFiltered,2,1.823197610872875,547.2441548433304,328.3763200000394,635.4023205318337,354.83648,611626.55744,611271.72096,0.0,1.2812291638636526
microCMCL_L_7_CommonFiltered,1,3.142488189760313,318.18153337487024,215.6339200000366,341.0588944361615,313.50784,613131.14112,612817.6332800001,0.0,1.5024962406769515
microCMCL_L_7_CommonFiltered,4,3.2827341598274575,304.38279888667995,191.528959999996,329.96692808303874,590.97088,613009.16224,612418.1913599999,0.0,1.4684734352151931
microCMCL_L_9_CommonFiltered,0,2.612488884274012,382.64637561524046,262.5945599999977,402.3154301916057,431.34976,613048.19712,612616.84736,0.0,1.4339266462875098
microCMCL_L_9_CommonFiltered,2,2.8163347709995126,354.9890002317497,235.76575999999477,379.2234787874829,416.3584,613127.3728,612711.0144,0.0,1.3926676048011124
microCMCL_L_10_CommonFiltered,0,3.093565176946193,323.18416472573836,222.14655999999377,327.33910539859653,240.68096,612997.85728,612757.17632,0.0,1.5827863899821506
microCMCL_L_10_CommonFiltered,1,3.5338722922732737,282.77836587257616,188.33408000000054,299.9647602720119,287.62112,612785.5616,612497.94048,0.0,1.475788788031747
