Electrode,Cluster,Spike_ms,IsBurst,BurstIndex
microGPi1_L_1_CommonFiltered,0,469.48352,False,-1
microGPi1_L_1_CommonFiltered,0,1349.8368,False,-1
microGPi1_L_1_CommonFiltered,0,1547.59168,False,-1
microGPi1_L_1_CommonFiltered,0,1867.03872,False,-1
microGPi1_L_1_CommonFiltered,0,2010.03008,False,-1
microGPi1_L_1_CommonFiltered,0,3335.20896,False,-1
microGPi1_L_1_CommonFiltered,0,5550.03904,False,-1
microGPi1_L_1_CommonFiltered,0,6213.05856,False,-1
microGPi1_L_1_CommonFiltered,0,6255.73888,False,-1
microGPi1_L_1_CommonFiltered,0,6498.54976,False,-1
microGPi1_L_1_CommonFiltered,0,6720.83968,False,-1
microGPi1_L_1_CommonFiltered,0,7041.8432,False,-1
microGPi1_L_1_CommonFiltered,0,7247.74912,False,-1
microGPi1_L_1_CommonFiltered,0,7608.44288,False,-1
microGPi1_L_1_CommonFiltered,0,7888.60928,False,-1
microGPi1_L_1_CommonFiltered,0,8245.73952,False,-1
microGPi1_L_1_CommonFiltered,0,8422.23616,False,-1
microGPi1_L_1_CommonFiltered,0,8682.496,False,-1
microGPi1_L_1_CommonFiltered,0,8989.94176,False,-1
microGPi1_L_1_CommonFiltered,0,9524.10112,False,-1
microGPi1_L_1_CommonFiltered,0,10331.62752,False,-1
microGPi1_L_1_CommonFiltered,0,10357.88288,False,-1
microGPi1_L_1_CommonFiltered,0,10402.4064,False,-1
microGPi1_L_1_CommonFiltered,0,10582.2208,False,-1
microGPi1_L_1_CommonFiltered,0,10584.71936,False,-1
microGPi1_L_1_CommonFiltered,0,10886.79936,False,-1
microGPi1_L_1_CommonFiltered,0,11012.75136,False,-1
microGPi1_L_1_CommonFiltered,0,12841.12384,False,-1
microGPi1_L_1_CommonFiltered,0,13352.01792,False,-1
microGPi1_L_1_CommonFiltered,0,14721.51552,False,-1
microGPi1_L_1_CommonFiltered,0,14883.14368,False,-1
microGPi1_L_1_CommonFiltered,0,15232.49152,False,-1
microGPi1_L_1_CommonFiltered,0,15638.24128,False,-1
microGPi1_L_1_CommonFiltered,0,15752.31488,False,-1
microGPi1_L_1_CommonFiltered,0,16358.93248,False,-1
microGPi1_L_1_CommonFiltered,0,16599.77728,False,-1
microGPi1_L_1_CommonFiltered,0,16956.57984,False,-1
microGPi1_L_1_CommonFiltered,0,17414.7584,False,-1
microGPi1_L_1_CommonFiltered,0,18235.02336,False,-1
microGPi1_L_1_CommonFiltered,0,18823.65952,False,-1
microGPi1_L_1_CommonFiltered,0,19616.5632,False,-1
microGPi1_L_1_CommonFiltered,0,20026.32704,False,-1
microGPi1_L_1_CommonFiltered,0,20518.13376,False,-1
microGPi1_L_1_CommonFiltered,0,21658.58304,False,-1
microGPi1_L_1_CommonFiltered,0,21749.59616,False,-1
microGPi1_L_1_CommonFiltered,0,21931.4176,False,-1
microGPi1_L_1_CommonFiltered,0,22172.0576,False,-1
microGPi1_L_1_CommonFiltered,0,22928.71168,False,-1
microGPi1_L_1_CommonFiltered,0,24263.10656,False,-1
microGPi1_L_1_CommonFiltered,0,24676.22912,False,-1
microGPi1_L_1_CommonFiltered,0,25028.97664,False,-1
microGPi1_L_1_CommonFiltered,0,25542.90176,False,-1
microGPi1_L_1_CommonFiltered,0,25681.63328,False,-1
microGPi1_L_1_CommonFiltered,0,26803.65056,False,-1
microGPi1_L_1_CommonFiltered,0,27020.94336,False,-1
microGPi1_L_1_CommonFiltered,0,27258.22464,False,-1
microGPi1_L_1_CommonFiltered,0,27674.0096,False,-1
microGPi1_L_1_CommonFiltered,0,28144.14848,False,-1
microGPi1_L_1_CommonFiltered,0,28304.384,False,-1
microGPi1_L_1_CommonFiltered,0,28905.8816,False,-1
microGPi1_L_1_CommonFiltered,0,30279.63904,False,-1
microGPi1_L_1_CommonFiltered,0,30670.11072,False,-1
microGPi1_L_1_CommonFiltered,0,31308.1856,False,-1
microGPi1_L_1_CommonFiltered,0,31425.90464,False,-1
microGPi1_L_1_CommonFiltered,0,31775.29344,False,-1
microGPi1_L_1_CommonFiltered,0,31967.51872,False,-1
microGPi1_L_1_CommonFiltered,0,32536.41216,False,-1
microGPi1_L_1_CommonFiltered,0,32611.9424,False,-1
microGPi1_L_1_CommonFiltered,0,32703.97952,False,-1
microGPi1_L_1_CommonFiltered,0,32878.10048,False,-1
microGPi1_L_1_CommonFiltered,0,33460.71552,False,-1
microGPi1_L_1_CommonFiltered,0,33472.59392,False,-1
microGPi1_L_1_CommonFiltered,0,33769.8816,False,-1
microGPi1_L_1_CommonFiltered,0,33819.97568,False,-1
microGPi1_L_1_CommonFiltered,0,33991.35232,False,-1
microGPi1_L_1_CommonFiltered,0,34069.05344,False,-1
microGPi1_L_1_CommonFiltered,0,35198.32064,False,-1
microGPi1_L_1_CommonFiltered,0,35477.0944,False,-1
microGPi1_L_1_CommonFiltered,0,35513.63072,False,-1
microGPi1_L_1_CommonFiltered,0,35925.15584,False,-1
microGPi1_L_1_CommonFiltered,0,36940.8,False,-1
microGPi1_L_1_CommonFiltered,0,37111.23456,False,-1
microGPi1_L_1_CommonFiltered,0,37592.18688,False,-1
microGPi1_L_1_CommonFiltered,0,38197.00224,False,-1
