patient,period,lag_ms
s508,Period5,-206.83967999999822
s508,Period5,-239.6883200000011
s508,Period5,-152.32704000000376
s508,Period5,-296.3628800000006
s508,Period5,-298.14079999999376
s508,Period5,-119.52960000000894
s508,Period5,-273.4969599999895
s508,Period5,-299.71007999998983
s508,Period5,-285.61599999998
s509,Period6,-285.5737599999993
s509,Period6,-291.1596800000116
s509,Period6,-204.03135999999358
s509,Period6,-285.0656000000017
s509,Period6,-289.9641600000032
s509,Period6,-107.92128000000957
s509,Period6,-224.45376000000397
s509,Period6,-281.034879999992
s509,Period6,-224.0966400000034
s509,Period6,-123.1507200000342
s509,Period7,-248.97855999998865
s509,Period7,-112.27840000001015
s509,Period7,-281.07711999997264
s509,Period7,-291.5270400000154
s509,Period7,-244.25792000000365
s509,Period7,-275.54112000000896
s509,Period7,-294.9216000000015
s509,Period7,-127.05343999993056
s509,Period7,-296.70848000003025
s509,Period7,-108.86847999994643
s509,Period7,-229.80544000002556
s509,Period7,-290.55552000005264
s509,Period7,-118.55551999993622
s509,Period7,-296.12352000002284
s509,Period8,-164.6534399999946
s509,Period8,-217.28831999999238
s509,Period8,-151.85599999999977
s509,Period8,-251.0598400000017
s509,Period8,-213.37663999997312
s509,Period8,-264.95423999999184
s509,Period8,-144.35904000001028
s509,Period8,-291.32351999997627
s509,Period8,-95.05984000000171
s509,Period9,-220.83647999999812
s509,Period9,-165.66208000000915
s509,Period9,63.45152000000235
s509,Period9,-179.36832000000868
s509,Period9,-148.56896000000415
s509,Period9,-285.5404800000251
s510,Period10,-252.767359999998
s510,Period11,-244.73536000000604
s510,Period11,-232.93120000000636
s510,Period11,-289.54303999998956
s510,Period11,-196.6483199999784
s510,Period11,-254.17535999999382
s510,Period11,-286.55807999998797
s510,Period12,-293.7593599999964
s510,Period12,-155.08672000002116
s510,Period12,-209.25375999999233
s510,Period12,-171.6985599999898
s510,Period12,-286.7001600000076
s510,Period12,-296.00319999997737
s510,Period12,-97.10528000001796
s510,Period12,-214.88319999998203
s510,Period12,-290.70656000002054
s510,Period12,-174.92671999998856
s510,Period12,-291.4988800000283
s510,Period12,-299.1750400000019
s510,Period13,-280.77247999999963
s510,Period13,-246.56576000002678
s511,Period1,-294.93568
s511,Period1,-176.08640000000014
s511,Period1,-234.7692800000077
s511,Period1,-218.30079999999725
s511,Period1,-224.52543999999762
s511,Period1,-214.60415999998804
s511,Period1,-183.8099199999997
s511,Period1,-213.88224000000628
s511,Period1,-278.0243199999968
s511,Period1,-180.21695999999065
s511,Period1,-237.1116800000018
s511,Period1,-283.66016000002855
s511,Period1,-239.0112000000081
s511,Period1,-248.8211199999787
s511,Period1,-287.895680000016
s511,Period1,-222.98048000002746
s511,Period1,-288.56511999998474
s511,Period1,-281.27295999997295
s511,Period1,-202.86528000002727
s511,Period1,-233.51104000001214
s511,Period1,-278.0294399999548
s511,Period1,-173.0335999999661
s511,Period1,-111.74080000002868
s511,Period1,-293.19103999994695
s511,Period1,-146.06784000003245
s511,Period1,-289.22048000001814
s511,Period1,-253.3241599999601
s511,Period1,-219.72288000001572
s511,Period1,-38.15743999998085
s511,Period1,-297.8399999999674
s511,Period2,-258.0320000000065
s511,Period2,-220.97727999999188
s511,Period2,-134.4672000000137
s511,Period2,-250.2009599999874
s511,Period2,-174.85503999999491
s511,Period2,-296.9721600000048
s511,Period2,-166.9740800000145
s511,Period2,-57.937280000012834
s511,Period2,-234.40064000000712
s511,Period3,-39.84832
s511,Period3,-289.8016
s511,Period3,-283.51424
s511,Period3,-266.7513599999984
s511,Period3,-266.49151999999594
s511,Period3,-212.7635199999786
s511,Period3,-185.2755200000247
s511,Period3,-285.5046399999992
s511,Period3,-124.3705600000103
s512,Period10,-283.2057599999971
s512,Period10,-151.3977600000071
s512,Period10,-218.15231999999378
s512,Period10,-85.64160000000265
s512,Period10,-20.077439999993658
s512,Period10,-296.55360000001383
s512,Period10,-221.43424000000232
s512,Period10,-147.7356800000125
s512,Period10,-251.4451199999894
s512,Period10,-140.72127999999793
s512,Period10,-244.53695999999763
s512,Period10,-139.90208000002895
s512,Period10,-224.88896000001114
s512,Period11,-245.59807999999975
s512,Period11,-142.46591999999873
s512,Period11,-194.47615999999834
s512,Period11,-298.37631999999576
s512,Period11,-286.1177599999937
s512,Period11,-203.94048000000475
s512,Period11,-205.38304000000062
s512,Period11,-233.68384000001242
s512,Period11,-271.7676799999899
s512,Period11,-296.3462399999844
s512,Period12,-289.90399999999863
s512,Period12,-290.49920000000566
s512,Period12,-281.8067199999932
s512,Period12,-286.5324799999944
s512,Period12,-291.3388799999957
s512,Period12,-61.71584000001894
s512,Period12,-278.14591999998083
s512,Period12,-268.00063999998383
s512,Period12,-191.90976000000956
s512,Period9,-239.9289600000011
s512,Period9,-223.26080000000002
s512,Period9,-284.51519999999437
s512,Period9,-116.97727999999188
s512,Period9,-243.04191999998875
s512,Period9,-266.679679999972
s512,Period9,-212.5100799999782
s512,Period9,-218.5119999999879
s512,Period9,-285.71071999997366
s512,Period9,-281.6223999999929
s512,Period9,-296.0953599999775
s512,Period9,-292.7340800000238
s512,Period9,-251.93024000001606
s515,Period1,-293.4457599999996
s515,Period1,-292.06463999999687
s515,Period1,-287.629439999997
s515,Period1,-243.41311999999743
s515,Period1,-136.75199999999313
s515,Period1,-245.44448000000557
s515,Period1,-115.23519999999553
s515,Period1,-196.15424000000348
s515,Period1,-242.19200000001
