patient,period,lag_ms
s508,Period5,-297.5046399999992
s508,Period5,-208.04544000001624
s509,Period6,-245.18976000000112
s509,Period6,-229.69408000000112
s509,Period6,-153.48287999999593
s509,Period6,-297.60831999999937
s509,Period6,-250.73087999998825
s509,Period6,-228.49600000001374
s509,Period6,-285.69536000001244
s509,Period6,-222.651520000014
s509,Period6,-235.75104000000283
s509,Period6,-291.24672000005376
s509,Period6,-288.5958399999654
s509,Period7,-230.44416000001365
s509,Period7,-227.82783999998355
s509,Period7,-292.1696000000229
s509,Period7,-299.65503999992507
s509,Period7,-299.88543999998365
s509,Period7,-253.2793600000441
s509,Period7,-258.7769599999301
s509,Period7,-282.69759999995586
s509,Period7,-129.89887999999337
s509,Period8,-215.39775999999983
s509,Period8,-291.57824000000255
s509,Period8,-293.01568000001134
s509,Period8,-283.94304000001284
s509,Period8,-180.19519999998738
s509,Period8,-214.62335999999777
s509,Period8,-218.13312000001315
s509,Period8,-287.48480000000563
s509,Period8,-187.97888000000967
s509,Period9,-286.7372800000012
s509,Period9,-264.00191999999515
s509,Period9,-287.72927999999956
s509,Period9,-291.77535999999964
s509,Period9,-281.44576000000234
s509,Period9,-280.99520000000484
s509,Period9,-258.99327999999514
s509,Period9,-220.59071999997832
s509,Period9,-256.9478399999789
s509,Period9,-235.98272000002908
s509,Period9,20.392319999984466
s509,Period9,-280.80703999998514
s509,Period9,-203.6985599999898
s510,Period10,-267.21855999999934
s510,Period10,-246.14592000000994
s510,Period11,-253.40095999999903
s510,Period11,-250.59648000000743
s510,Period11,-289.6198399999994
s510,Period11,-252.74176000000443
s510,Period11,-170.0576000000001
s510,Period12,-281.0156799999968
s510,Period12,-282.8486399999965
s510,Period12,-205.2115199999971
s510,Period12,-208.4256000000023
s510,Period12,47.703679999976885
s510,Period12,-160.74816000001738
s510,Period13,-292.6073600000018
s510,Period13,-266.0371199999936
s510,Period13,-217.17567999998573
s510,Period13,-286.6348800000269
s511,Period1,-289.25376000000006
s511,Period1,-267.3196799999996
s511,Period1,-284.02240000000165
s511,Period1,-54.89343999999983
s511,Period1,-208.00960000000487
s511,Period1,-276.2323200000101
s511,Period1,-291.31583999999566
s511,Period1,-284.0134400000097
s511,Period1,-273.8809600000095
s511,Period1,-282.8076799999981
s511,Period1,-152.85055999999167
